,x,4-MA,Trend-cycle component,Detrended series,Average detrended quarerly values,Seasonal component,,Remainder component ,Seasonally adjusted series
1,443,,,,,-4.733333333,,,447.7333333
2,410,451.25,,,,-40.35833333,0.083333333,,450.3583333
3,420,448.75,450,-30,-24.18333333,-24.26666667,,-5.733333333,444.2666667
4,532,451.5,450.125,81.875,69.44166667,69.35833333,,12.51666667,462.6416667
5,433,449,450.25,-17.25,-4.65,-4.733333333,,-12.51666667,437.7333333
6,421,444,446.5,-25.5,-40.275,-40.35833333,,14.85833333,461.3583333
7,410,448,446,-36,-24.18333333,-24.26666667,,-11.73333333,434.2666667
8,512,438,443,69,69.44166667,69.35833333,,-0.358333333,442.6416667
9,449,441.25,439.625,9.375,-4.65,-4.733333333,,14.10833333,453.7333333
10,381,446,443.625,-62.625,-40.275,-40.35833333,,-22.26666667,421.3583333
11,423,440.25,443.125,-20.125,-24.18333333,-24.26666667,,4.141666667,447.2666667
12,531,447,443.625,87.375,69.44166667,69.35833333,,18.01666667,461.6416667
13,426,445.25,446.125,-20.125,-4.65,-4.733333333,,-15.39166667,430.7333333
14,408,442.5,443.875,-35.875,-40.275,-40.35833333,,4.483333333,448.3583333
15,416,438.25,440.375,-24.375,-24.18333333,-24.26666667,,-0.108333333,440.2666667
16,520,435.75,437,83,69.44166667,69.35833333,,13.64166667,450.6416667
17,409,431.25,433.5,-24.5,-4.65,-4.733333333,,-19.76666667,413.7333333
18,398,428,429.625,-31.625,-40.275,-40.35833333,,8.733333333,438.3583333
19,398,433.75,430.875,-32.875,-24.18333333,-24.26666667,,-8.608333333,422.2666667
20,507,433.75,433.75,73.25,69.44166667,69.35833333,,3.891666667,437.6416667
21,432,435.75,434.75,-2.75,-4.65,-4.733333333,,1.983333333,436.7333333
22,398,440.5,438.125,-40.125,-40.275,-40.35833333,,0.233333333,438.3583333
23,406,439.5,440,-34,-24.18333333,-24.26666667,,-9.733333333,430.2666667
24,526,439.25,439.375,86.625,69.44166667,69.35833333,,17.26666667,456.6416667
25,428,438.5,438.875,-10.875,-4.65,-4.733333333,,-6.141666667,432.7333333
26,397,436.25,437.375,-40.375,-40.275,-40.35833333,,-0.016666667,437.3583333
27,403,438,437.125,-34.125,-24.18333333,-24.26666667,,-9.858333333,427.2666667
28,517,434.5,436.25,80.75,69.44166667,69.35833333,,11.39166667,447.6416667
29,435,439.75,437.125,-2.125,-4.65,-4.733333333,,2.608333333,439.7333333
30,383,440.75,440.25,-57.25,-40.275,-40.35833333,,-16.89166667,423.3583333
31,424,437.25,439,-15,-24.18333333,-24.26666667,,9.266666667,448.2666667
32,521,442,439.625,81.375,69.44166667,69.35833333,,12.01666667,451.6416667
33,421,439.5,440.75,-19.75,-4.65,-4.733333333,,-15.01666667,425.7333333
34,402,434.25,436.875,-34.875,-40.275,-40.35833333,,5.483333333,442.3583333
35,414,441.75,438,-24,-24.18333333,-24.26666667,,0.266666667,438.2666667
36,500,436.25,439,61,69.44166667,69.35833333,,-8.358333333,430.6416667
37,451,436.75,436.5,14.5,-4.65,-4.733333333,,19.23333333,455.7333333
38,380,434.75,435.75,-55.75,-40.275,-40.35833333,,-15.39166667,420.3583333
39,416,429,431.875,-15.875,-24.18333333,-24.26666667,,8.391666667,440.2666667
40,492,436,432.5,59.5,69.44166667,69.35833333,,-9.858333333,422.6416667
41,428,433.5,434.75,-6.75,-4.65,-4.733333333,,-2.016666667,432.7333333
42,408,437,435.25,-27.25,-40.275,-40.35833333,,13.10833333,448.3583333
43,406,438.75,437.875,-31.875,-24.18333333,-24.26666667,,-7.608333333,430.2666667
44,506,431.75,435.25,70.75,69.44166667,69.35833333,,1.391666667,436.6416667
45,435,435.5,433.625,1.375,-4.65,-4.733333333,,6.108333333,439.7333333
46,380,431.5,433.5,-53.5,-40.275,-40.35833333,,-13.14166667,420.3583333
47,421,431.5,431.5,-10.5,-24.18333333,-24.26666667,,13.76666667,445.2666667
48,490,434,432.75,57.25,69.44166667,69.35833333,,-12.10833333,420.6416667
49,435,431.75,432.875,2.125,-4.65,-4.733333333,,6.858333333,439.7333333
50,390,422.75,427.25,-37.25,-40.275,-40.35833333,,3.108333333,430.3583333
51,412,418,420.375,-8.375,-24.18333333,-24.26666667,,15.89166667,436.2666667
52,454,421.25,419.625,34.375,69.44166667,69.35833333,,-34.98333333,384.6416667
53,416,420.25,420.75,-4.75,-4.65,-4.733333333,,-0.016666667,420.7333333
54,403,427.25,423.75,-20.75,-40.275,-40.35833333,,19.60833333,443.3583333
55,408,432.75,430,-22,-24.18333333,-24.26666667,,2.266666667,432.2666667
56,482,428.5,430.625,51.375,69.44166667,69.35833333,,-17.98333333,412.6416667
57,438,427.75,428.125,9.875,-4.65,-4.733333333,,14.60833333,442.7333333
58,386,430,428.875,-42.875,-40.275,-40.35833333,,-2.516666667,426.3583333
59,405,427.25,428.625,-23.625,-24.18333333,-24.26666667,,0.641666667,429.2666667
60,491,426.5,426.875,64.125,69.44166667,69.35833333,,-5.233333333,421.6416667
61,427,423.75,425.125,1.875,-4.65,-4.733333333,,6.608333333,431.7333333
62,383,419.25,421.5,-38.5,-40.275,-40.35833333,,1.858333333,423.3583333
63,394,,,,,-24.26666667,,,418.2666667
64,473,,,,,69.35833333,,,403.6416667
